,Consumo_Predicho
2025-10-01 11:23:00,61016638.620344736
2025-10-01 11:24:00,62061367.29892729
2025-10-01 11:25:00,192887532.10294655
2025-10-01 11:26:00,193668550.10350233
2025-10-01 11:27:00,171715079.63163915
2025-10-01 11:28:00,196219441.06448913
2025-10-01 11:29:00,284421399.24822587
2025-10-01 11:30:00,274267815.4215831
2025-10-01 11:31:00,329609116.7978034
2025-10-01 11:32:00,348802519.694397
2025-10-01 11:33:00,521238788.54934967
2025-10-01 11:34:00,704365160.589386
2025-10-01 11:35:00,701394996.1767325
2025-10-01 11:36:00,719110147.5354751
2025-10-01 11:37:00,850063570.8152932
2025-10-01 11:38:00,918383699.8329986
2025-10-01 11:39:00,913374501.8473437
2025-10-01 11:40:00,986020305.134435
2025-10-01 11:41:00,972489447.7337866
2025-10-01 11:42:00,988681915.9507188
2025-10-01 11:43:00,1037441300.3237841
2025-10-01 11:44:00,1031247825.8383838
2025-10-01 11:45:00,1032219932.7186227
2025-10-01 11:46:00,1032219932.7186227
2025-10-01 11:47:00,1032219932.7186227
2025-10-01 11:48:00,1032219932.7186227
2025-10-01 11:49:00,1038484475.0928317
2025-10-01 11:50:00,1032219932.7186227
2025-10-01 11:51:00,1032219932.7186227
2025-10-01 11:52:00,1032219932.7186227
