,IC1,IC2
CDR_ID,0.9446038036250916,-0.02556774301544721
CDR_SUB_ID,1.6603777933478826e-18,-3.155831388769928e-16
STD_EVT_TYPE_ID,-2.365538434003756e-18,-9.857946597427608e-17
OBJ_ID,0.9903504752768404,-0.020044308809134527
OWNER_CUST_ID,0.9903504936706882,-0.02004385871853311
PRI_IDENTITY,-0.0006516185979588757,0.01698375331569978
DEFAULT_ACCT_ID,0.9903508245960042,-0.020043919032379173
BILL_CYCLE_ID,0.0,0.0
SERVICE_CATEGORY,1.4785436016604592e-20,6.161216426429979e-19
USAGE_SERVICE_TYPE,-9.240384507827175e-22,-3.8507603896201595e-20
ACTUAL_USAGE,-0.0030260158746869283,0.992198975842993
RATING_USAGE,-0.003026015874686942,0.9921989758429921
USAGE_MEASURE_UNIT,-4.511906497962488e-25,-1.8802540964942185e-23
FREE_UNIT_USAGE,5.63988312245311e-26,2.350317620617773e-24
FREE_UNIT_MEASURE_UNIT,-3.524926951533194e-27,-1.4689485128861082e-25
ACTUAL_CHARGE,0.0,0.0
TOTAL_TAX_AMOUNT,-5.507698361770615e-29,-2.295232051384544e-27
CHARGE_CURRENCY_ID,-1.7211557380533172e-30,-7.1726001605767e-29
RESERVE3,-0.09459194257406742,-0.06513529229480954
RESERVE8,-0.25151481931992087,-0.06323599048407001
RESERVE10,0.14390316304270814,0.1255317826327997
RECHARGE_CARD_INFO,-0.01326016684199899,-0.012019847240169232
CDR_ID.1,0.005726842232450023,0.04215945383710671
CDR_SUB_ID.1,-0.01749361662828496,-0.02694377207268842
PAY_ACCT_ID,0.0001155339113808896,0.008162074452913885
PAY_OBJECT_ID,0.009863322962748682,-0.006105793634543746
PAY_OBJECT_TYPE_ID,0.0026085349252181205,0.023360078114266276
CHARGE_CODE,0.010909741247850872,-0.009908590845628595
OFFERING_ID,0.02041265396844942,0.017422313263676638
PLAN_ID,0.024082009750651254,0.012129650810833182
DEDUCT_CHARGE_AMOUNT,-0.000391547878037852,-0.017391536764400257
TAX_AMOUNT1,0.016846144117840703,0.03362992570329989
TAX_AMOUNT2,0.011037542600828192,-0.029932989719242756
TAX_AMOUNT3,-0.00444790331252187,0.01788799242658991
CHARGE_CURRENCY_ID.1,-0.00040296880725193557,0.0035125369860272647
PAY_CURRENCY_ID,0.006490762095076953,-0.017888037379480047
CUST_ID,-0.01289242743643228,-0.014677335922606352
BILL_CYCLE_ID.1,-0.01826370518452448,0.019907133250537334
CP_BILL_CYCLE_ID,0.005615501894243113,-0.003324841372111876
CallingPartyNumber,-0.015742023085316376,0.02867647162181772
CallingPartyIMSI,0.001749150653830898,0.006515834504794957
CallingCellID,0.004195398170256069,-0.011583626984818025
TotalFlux,0.008938978005641899,0.018859767494400412
UpFlux,0.004108987022582122,-0.01032774942311397
DownFlux,0.008387674625124306,0.007021134998261921
IMEI,-0.005352199455828318,-0.023822191935893137
ServiceID,-0.009831930676517988,0.020903509149826676
SPID,0.03326353362525306,0.009099270421299134
CategoryID,0.030418108828838376,-0.0017608671255950504
ContentID,-0.012390891553819132,0.014799678558795666
ChargingID,0.008651124990638418,-0.04360552405258588
TransitionID,-0.0008783834028068586,-0.003994876302354843
BrandID,0.011537853534184898,-0.018385106517965412
MainOfferingID,-0.01249778641722954,-0.030759422696320524
ChargingPartyNumber,-0.03093282452541161,0.00013551249091030005
PayType,0.0018405410231666559,-0.02024890051217313
ChargingType,0.007751260647981055,0.021525912605032296
RoamState,0.004332081493754391,-0.011515942909421135
CallingHomeAreaNumber,0.027571453246817357,0.02060479072460569
CallingRoamAreaNumber,-0.0016123067034593537,-0.02910702777561966
HomeZoneID,-0.01746082373196205,-0.0054262942638972555
SpecialZoneID,-0.008102345631123458,-0.012888616147642182
CallingVPNTopGroupNumber,0.012363388621230027,0.03519194386415208
CallingVPNGroupNumber,-0.003913884581710862,0.000832306248752612
OnlineChargingFlag,0.021389610079397135,0.01760710823994008
DataZoneID,-0.014556731826675223,-0.02454203711136392
RoamingZoneID,0.0010562812145117415,0.03548168326785255
ChargePartyIndicator,0.012242067765324311,0.03095400022267719
UsagePayLimitList,0.010718975836174191,0.01643849324790472
RuleBaseID,0.008761011762959573,0.01641673189982421
FluxPoolChargeFlag,0.001793032257913177,0.017601453094002073
locationID,-0.018687430129427265,0.0021712824246211213
recordSeqNum,0.0033142475204566914,-0.039706637034016605
ACTUAL_USAGE.1,-0.014802399416075305,0.007090416372775001
RATE_USAGE,-0.001697700179983778,0.01962661143581134
FREE_USAGE,-0.02672277954739669,-0.01956227497729598
USAGE_MEASURE_ID,0.018440068688378688,-0.009146449279434471
accountId,0.022345760863657794,0.018665882360398376
CurrencyId,0.0260704697539207,-0.0038684500825887603
secCallIdFile,0.003411350475090799,-0.005533810737642117
secIdFile,-0.008426426728671835,0.03132284500171568
plmnId,0.006157612442313765,-0.022633484142744607
