,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59
CDR_ID,0.47600609946009387,-0.00204065385829457,-0.06365973676444911,-0.006546122551126932,0.0051007414768750115,0.0004158251733603659,-0.0015946904276784215,0.005667668753039733,0.006801301943881827,0.0036175222789447408,-0.014694473074348615,-0.005958629768838266,0.002934657404202958,-0.0005607562984181766,0.0016850495301979958,0.005082877587836039,0.0001082515953126103,0.0015069672832004725,0.014249845868335278,-0.007584663710240111,-0.00819094326450357,0.011903440261840627,-0.000538784305688654,-0.0018426902370542908,0.008635133429863332,-0.004052877734341368,0.003497015390767324,-0.009833223756196113,0.004272509975586325,0.0047204978427209995,-0.0037117843430991082,0.0035322332908294322,-0.002192358259901691,0.002378621670307291,-0.007922446829969808,-0.0037816106398259196,-0.008931430999344946,-0.0036386235335086085,0.0024662269504390137,-0.00603294521455281,-4.534696114306371e-07,-0.006999484786940407,-0.0030200745101998197,0.003838514651269077,0.002559664200897345,0.002399394300801659,-0.0029202038248256424,-0.0036846573048594875,-0.007089918668478178,-0.008751238439272129,-0.005217190146958471,-0.010018364395778363,0.010227170226922103,0.013100388514905578,1.5587408265264743e-05,0.008351722124563987,0.013146723777264505,0.008232649737442362,-0.001761755469434492
CDR_SUB_ID,-2.220446049250313e-16,-1.205632815803881e-16,-4.0592529337857286e-16,8.66277535815918e-17,-1.1275702593849246e-17,8.7257946094349e-17,-1.2137643320975222e-16,1.4094628242311558e-18,5.561957144850638e-17,1.0549287138283958e-16,1.6393136847980827e-16,1.77863366396247e-16,-2.1277467635028025e-17,-3.477307417704134e-16,-1.7566785699696386e-16,8.830826694894434e-17,4.6456369025109356e-17,-1.23300892065914e-16,-7.448468924975415e-17,8.863352760068999e-17,-3.4661943454361577e-16,-1.7802599672211983e-16,-1.0813222604648398e-16,-5.2766764482153894e-17,-4.336808689942018e-18,-1.705178966776577e-16,-4.54009659728305e-18,7.37257477290143e-18,-4.778621075229861e-17,-1.6717719873368675e-16,1.0313473165768361e-16,6.735605996566196e-17,-2.451948624064386e-16,3.039831841106233e-17,-6.773553072603189e-17,5.5077470362263625e-17,9.71445146547012e-17,1.7530193876375e-17,1.4815622687014418e-16,-1.0073593435105943e-16,-6.38842572033238e-17,-6.638027801042501e-17,-8.993457020767259e-17,-7.155734338404329e-17,-7.121853020514157e-17,5.435918642299198e-17,-1.8440923701262824e-16,1.1403096349116293e-16,5.2366964931049864e-17,1.9184957442131e-16,-5.757113535898029e-17,5.0090140368830305e-17,6.765421556309548e-17,-2.185751579730777e-16,-1.8274492315039194e-16,3.892285799222961e-17,-2.0513105103425744e-16,-2.42861286636753e-17,-5.51316804708879e-17
STD_EVT_TYPE_ID,0.0,-3.122502256758253e-17,1.1102230246251565e-16,-1.3877787807814457e-17,6.938893903907228e-17,-4.85722573273506e-17,1.457167719820518e-16,2.7755575615628914e-17,-9.71445146547012e-17,-1.3877787807814457e-17,2.7755575615628914e-17,6.938893903907228e-18,8.326672684688674e-17,-3.209238430557093e-17,7.28583859910259e-17,-3.5388358909926865e-16,-1.3010426069826053e-18,4.163336342344337e-17,-2.7755575615628914e-17,1.1102230246251565e-16,1.8041124150158794e-16,-2.7755575615628914e-17,-2.480654570646834e-16,-4.163336342344337e-17,5.551115123125783e-17,2.42861286636753e-16,2.7755575615628914e-17,1.1102230246251565e-16,4.85722573273506e-17,-4.85722573273506e-17,-2.7755575615628914e-17,-1.1796119636642288e-16,-1.0408340855860843e-17,-1.1449174941446927e-16,-9.71445146547012e-17,0.0,-6.938893903907228e-17,1.249000902703301e-16,1.249000902703301e-16,2.0816681711721685e-16,-3.3927057669323746e-17,1.3877787807814457e-17,-1.2836953722228372e-16,1.3877787807814457e-17,-5.551115123125783e-17,-1.5612511283791264e-16,-2.6020852139652106e-16,9.71445146547012e-17,9.71445146547012e-17,5.551115123125783e-17,-1.249000902703301e-16,-8.326672684688674e-17,-2.498001805406602e-16,-5.551115123125783e-17,-1.1338044218767163e-16,8.326672684688674e-17,-8.326672684688674e-17,1.5265566588595902e-16,-2.7755575615628914e-17
OBJ_ID,0.4989771171015283,0.0026172378466389756,-0.0694134391326896,-0.0003236760363569263,-0.005904255854044183,-0.003638799097241649,0.002019028091842813,-0.002065449190120104,0.007865057409650891,0.00803248653262999,-0.01482665210673513,-0.0071569087027064035,0.0004034374134050736,0.0001904388086498704,-0.001980144185988268,-0.0009870003649703266,0.005394311777790374,0.005875604842750973,-0.0002421413670972289,-0.004206013946181003,-0.0027869714248417166,0.007688542327529774,-0.0032993586589806726,0.0018652441597046092,0.00651133029644925,0.003930172858159067,-0.004878480555034044,-0.01212162671009296,0.004805179623579226,0.0015274907002998939,-0.0013289057359034961,-0.002756784121294889,-0.0021444276135970143,-0.0012924631257335908,-0.0059995859372397944,-0.006868787069980509,0.0019112715329209634,-0.0023219919452085666,0.004766073084866838,0.00028050364500006864,0.00376716156600284,-0.0038595350561004965,0.002404690910588439,-0.0008488778779773276,-0.00026481077284724874,0.002853041286406042,-0.003215485639473537,-0.003403490606513692,-0.0020108144544345383,-0.0016379074533996174,-0.0030113658283721367,0.00476736776488898,-0.0005453632296382044,0.005921824419257676,-0.004182738971486913,-0.001459479076943132,0.0011855474377095998,0.004119179146657423,-0.0004473870650009669
OWNER_CUST_ID,0.49897712092549934,0.0026175547883595662,-0.06941132625650182,-0.00032365743431628236,-0.005904058080183808,-0.0036391912748549703,0.002019417045261422,-0.0020652208216086487,0.007864670642921345,0.008032393430439995,-0.014826707605121336,-0.007156982194388595,0.00040350851753266637,0.00019080407205675047,-0.001980149538772548,-0.0009876166521211316,0.0053944633268865555,0.0058756883964302745,-0.00024226242518265995,-0.004206143057608441,-0.002786847184289676,0.007688486537811984,-0.0032989923517492597,0.001865812720818212,0.006511566778251904,0.00392983941563553,-0.004878792605512709,-0.012121440988794058,0.004805133252384783,0.0015275358109648612,-0.0013287962080531304,-0.0027566341568272187,-0.0021447860726226745,-0.0012924961970956148,-0.005999456704569209,-0.0068688406889269304,0.0019118353202415839,-0.002321762151335803,0.004766059697794353,0.00028094773140387164,0.003767194360457275,-0.0038594846513592546,0.0024049511160176285,-0.0008491755946781823,-0.0002650059794398127,0.0028526714835867585,-0.0032154766521518413,-0.003403584739758464,-0.0020108750393373342,-0.0016378715013430356,-0.003011341070940185,0.004767282655085234,-0.0005454492187400156,0.0059211440623471445,-0.004183215369954626,-0.0014590158568409534,0.0011853850614156891,0.004118994644252416,-0.00044728893982398654
PRI_IDENTITY,-0.0005333895735386983,0.011936786605496241,-0.008818222364283465,0.010500830262175603,0.29253154813904847,-0.08781581779004406,-0.0737752405410191,-0.06625662824275164,-0.2116440740936578,0.16296456316460792,-0.2215645743799214,-0.13334103363612035,0.037424288334560046,0.04080897702299013,0.14872927461755114,0.0360900324515285,0.04817776252617612,0.09852210383052026,0.05479304705325124,0.035751971639075016,-0.10066010318112076,-0.1684270628323317,0.11535623752098684,-0.006413487357738718,0.017852029923056963,0.05912403865893192,0.012051882405424468,0.19230415968274794,-0.2253135189410076,-0.12929084189345508,0.00014851510955816473,-0.19125757194340492,-0.08040443384188012,-0.06298731142423605,0.06464984551410716,-0.11832441982061703,-0.09083395252349347,-0.02236307198674899,0.029458241818733702,0.09043736419513689,0.14567739241219096,-0.04120574251278099,0.010945589087771303,-0.05552840452936193,-0.11425609266059143,0.008365285907290168,0.31708026837782943,-0.03344591601400687,-0.027759000125152297,-0.09443122073080945,0.3473394720947036,0.0013803907906659585,0.01589855294904559,0.04305481241742844,-0.04693390321578533,0.03346805170671453,-0.01853008092551431,-0.22031259282750226,0.1386731303082616
DEFAULT_ACCT_ID,0.49897728830647065,0.0026175179449168806,-0.06941080205818033,-0.00032377473386119293,-0.00590414295874217,-0.0036388646732637246,0.002019160239310043,-0.002065302612201725,0.00786483237068944,0.008032326973538506,-0.014826732358498684,-0.0071569884639872405,0.0004035053574642927,0.00019067893805343843,-0.001979964538175255,-0.0009873405701166238,0.005394023187206117,0.005875433256269186,-0.00024239629436331733,-0.004206163477238442,-0.0027867570605300956,0.0076884401658759705,-0.003299402327720133,0.0018653596689881709,0.006511456084824341,0.003930147317695892,-0.004878696897295098,-0.012121459539677713,0.004805381937605286,0.00152740040401406,-0.001328813725963808,-0.0027570521289205074,-0.002144723696359949,-0.001292442120418394,-0.005999197115541481,-0.0068688861096473,0.0019114405643196972,-0.0023219653706364318,0.004765795756597596,0.0002805489495278403,0.0037671127267748334,-0.003859434319512592,0.002404908207877936,-0.0008487870240891718,-0.0002649167087455939,0.0028530082913142026,-0.0032149815802109682,-0.0034033887848448005,-0.0020107644044779355,-0.001637899071567292,-0.003011217488520193,0.004767374924391152,-0.0005453594885498347,0.005921331693512527,-0.004182910542035411,-0.0014591475598323411,0.001185390768098038,0.004119267241275121,-0.0004473510019221902
BILL_CYCLE_ID,0.0,6.938893903907228e-18,-6.938893903907228e-18,-5.551115123125783e-17,-0.0,-1.2836953722228372e-16,-9.71445146547012e-17,0.0,-0.0,1.249000902703301e-16,-5.551115123125783e-17,-1.1102230246251565e-16,1.1102230246251565e-16,-3.0184188481996443e-16,-2.42861286636753e-17,-1.1449174941446927e-16,-5.571647201767227e-16,9.141992718397773e-16,-2.636779683484747e-16,-3.0531133177191805e-16,3.2612801348363973e-16,5.551115123125783e-17,5.056718932472393e-16,2.42861286636753e-16,3.469446951953614e-16,1.3183898417423734e-16,-6.245004513516506e-17,1.6653345369377348e-16,-9.71445146547012e-17,-1.8041124150158794e-16,-2.0816681711721685e-16,-2.0816681711721685e-16,7.632783294297951e-17,1.1102230246251565e-16,-5.551115123125783e-17,5.412337245047638e-16,-0.0,1.1102230246251565e-16,-5.551115123125783e-16,-2.7755575615628914e-16,2.1142958803004042e-16,2.7755575615628914e-17,2.3592239273284576e-16,1.249000902703301e-16,2.498001805406602e-16,-2.498001805406602e-16,3.95516952522712e-16,-3.95516952522712e-16,8.326672684688674e-17,-1.942890293094024e-16,6.938893903907228e-17,9.71445146547012e-17,-2.7755575615628914e-17,2.0816681711721685e-16,7.793516266368927e-16,4.5102810375396984e-17,9.71445146547012e-17,-1.8821749714348357e-16,1.9168694409543718e-16
SERVICE_CATEGORY,-1.6543612251060553e-24,-8.673617379884035e-19,-8.673617379884035e-19,-0.0,-2.7755575615628914e-17,-9.020562075079397e-17,-1.6653345369377348e-16,-1.1102230246251565e-16,1.3877787807814457e-17,-5.551115123125783e-17,-1.3877787807814457e-17,-3.8163916471489756e-17,3.8163916471489756e-17,-2.7668839441830073e-16,-4.85722573273506e-17,-8.326672684688674e-17,-1.7889335846010823e-16,-3.7470027081099033e-16,2.7755575615628914e-16,2.498001805406602e-16,-1.942890293094024e-16,-8.326672684688674e-17,-2.0296264668928643e-16,-1.6653345369377348e-16,1.1102230246251565e-16,-4.163336342344337e-17,9.71445146547012e-17,2.498001805406602e-16,1.6653345369377348e-16,9.71445146547012e-17,9.020562075079397e-17,7.632783294297951e-17,-2.7755575615628914e-17,5.551115123125783e-17,0.0,-3.2612801348363973e-16,2.1510571102112408e-16,-1.0408340855860843e-16,9.280770596475918e-17,1.8648277366750676e-17,1.3097479880980114e-16,1.4224732503009818e-16,-6.765421556309548e-17,1.0408340855860843e-17,-1.97758476261356e-16,3.469446951953614e-18,-1.4224732503009818e-16,5.551115123125783e-17,-8.326672684688674e-17,1.249000902703301e-16,-8.326672684688674e-17,-2.498001805406602e-16,-2.7755575615628914e-16,-1.6653345369377348e-16,-5.576593874179192e-16,1.1102230246251565e-16,-2.7755575615628914e-17,-1.1102230246251565e-16,-1.0061396160665481e-16
USAGE_SERVICE_TYPE,-1.0339757656912846e-25,2.168404344971009e-19,1.0842021724855044e-19,-1.1102230246251565e-16,-2.7755575615628914e-17,-9.71445146547012e-17,3.469446951953614e-18,2.42861286636753e-17,8.326672684688674e-17,-1.5959455978986625e-16,-1.1102230246251565e-16,2.0816681711721685e-17,-8.326672684688674e-17,5.551115123125783e-17,1.6306400674181987e-16,1.3877787807814457e-17,1.5894403848637495e-16,-1.8735013540549517e-16,-2.7755575615628914e-17,1.3877787807814457e-16,-6.938893903907228e-18,-6.938893903907228e-17,-1.6338926739356552e-16,-4.4885969940899884e-17,-1.3530843112619095e-16,4.683753385137379e-17,2.3071822230491534e-16,9.020562075079397e-17,5.551115123125783e-17,1.734723475976807e-16,-0.0,2.0816681711721685e-17,-1.0061396160665481e-16,-1.700029006457271e-16,-1.249000902703301e-16,0.0,-1.1102230246251565e-16,5.551115123125783e-17,-6.938893903907228e-18,9.71445146547012e-17,-1.3640533879288527e-16,-8.326672684688674e-17,6.938893903907228e-18,3.469446951953614e-17,-5.204170427930421e-17,3.469446951953614e-17,-1.4224732503009818e-16,1.1102230246251565e-16,1.3877787807814457e-16,-1.0408340855860843e-16,-3.122502256758253e-17,1.0408340855860843e-16,8.326672684688674e-17,6.591949208711867e-17,-3.470802204669221e-16,1.0408340855860843e-17,-1.3877787807814457e-16,6.938893903907228e-17,2.2898349882893854e-16
