hour_of_day,internet_mean,internet_std,internet_cv,cluster_internet,perfil_internet,internet_zscore,is_peak_internet,is_valley_internet
0,3347633.547671429,192886.27184203835,0.05761869365186341,1,0,-0.5933316670700903,0,0
1,2789541.1723857145,183428.42685419426,0.0657557696835333,1,0,-1.0454818693476928,0,1
2,2405004.7528428575,162482.68270367588,0.0675602335136944,1,0,-1.3570220866645775,0,1
3,2148474.0080142855,159929.44164204877,0.07443862064209388,1,0,-1.5648558312221552,0,1
4,1999222.4548142855,159129.6331688211,0.07959576123484648,1,0,-1.6857750964872968,0,1
5,1978550.3821714285,179664.8039403499,0.09080628199271819,1,0,-1.7025230081966802,0,1
6,2224966.863057143,342023.5770252263,0.15372075094867987,1,0,-1.5028835459661292,0,1
7,3067714.4928,899137.6001597696,0.29309689746870976,0,1,-0.8201139398375276,0,0
8,4008187.820028571,1352073.3016931186,0.33732783053144044,0,1,-0.05816981736964789,0,0
9,4517263.9471,1211428.0919765604,0.26817739812481106,0,1,0.35426884695040434,0,0
10,4872551.418371429,1054984.8883085058,0.21651590670353577,0,1,0.6421124175059655,0,0
11,5041987.823342858,946636.2341548926,0.18775059903399,0,1,0.7793848623083169,0,0
12,5143516.197485714,1019664.0068474808,0.19824259663957527,0,1,0.8616401966194283,0,0
13,5265140.8228,1207155.182588103,0.22927310459778147,0,1,0.960176928839858,1,0
14,5283138.550414286,1071791.1820261632,0.20287016359658297,0,1,0.9747581640290509,1,0
15,5209289.571014285,917841.2858446069,0.1761931782313496,0,1,0.9149278698835516,1,0
16,5251300.004985714,877133.9533416074,0.1670317735624831,0,1,0.9489635010068528,1,0
17,5303077.055785715,848121.5712800324,0.15993008631744518,0,1,0.9909117608815243,1,0
18,5299253.576014286,807323.3410122737,0.15234661437344,0,1,0.9878140888318555,1,0
19,5002020.263642857,638136.0351652392,0.12757565973960525,0,1,0.7470043084732174,0,0
20,4749046.382,489522.07319603814,0.1030779726749645,1,0,0.5420522309659587,0,0
21,4634971.156485714,427651.2513555753,0.09226621631875113,1,0,0.44963180278013765,0,0
22,4411315.433557143,384359.9615987916,0.0871304642317924,1,0,0.26843244432101987,0,0
23,3966526.555914286,284175.8800151553,0.07164350874983137,1,0,-0.09192256123534018,0,0
